carrera,institucion,direccion,ciudad,region,latitud,longitud,arancel,duracion_formal,duraccion_real,grado,acreditacion_institucion,acreditacion_carrera,porcentaje_procedencia_subvencionado,procentaje_retencion_primero
Diseño Gráfico Profesional,IP INACAP,Av. Nelson Pereira 2519,Rancagua,O'Higgins,"-34,136379","-70,740001",1812000,8 semestres,"11,8 semestres",Profesional,6 años,6 años,95,"72,5"
Diseño Gráfico Profesional,IP INACAP,Ruta 5 6,Curicó,Maule,"-34,978927","-71,210928",1812000,8 semestres,"11,8 semestres",Profesional,6 años,6 años,95,"72,5"
Diseño Gráfico Profesional,IP INACAP,Luis Durand 02150,Temuco,Araucanía,"-38,725414","-72,630158",1620000,8 semestres,"11,8 semestres",Profesional,6 años,6 años,95,"72,5"
Diseño Gráfico Profesional,IP INACAP,Alcalde René Soriano Bórquez 2382,Osorno,Los Lagos,"-40,581275","-73,111407",1602000,8 semestres,"11,8 semestres",Profesional,6 años,6 años,95,"72,5"
Diseño Gráfico Profesional,IP INACAP,Av. Bulnes km 4 Norte,Punta Arenas,Magallanes,"-53,131432","-70,911705",1556000,8 semestres,"11,8 semestres",Profesional,6 años,6 años,95,"72,5"
Diseño Gráfico Profesional ,IP INACAP,Santa María 2190,Arica,Arica y Parinacota,"-18,47005","-70,30431",1582000,8 semestres,"11,8 semestres",Profesional,6 años,6 años,95,"72,5"
Diseño Gráfico Publicitario,IP LOS LEONES,Arturo Prat 269,Santiago,Metropolitana,"-33,448555","-70,649531",1220000,8 semestres,10 semestres,Profesional,no acreditada,3 años,"99,4","57,4"
Diseño Gráfico,IP SANTO TOMAS,Ruta 5 Norte 1068,La Serena,Coquimbo,"-29,908667","-71,257226",1821000,8 semestres,—,Profesional,3 años,4 años,"98,3",—
Diseño Gráfico,IP SANTO TOMAS,Vicuña Mackenna 4835,Santiago,Metropolitana,"-33,496419","-70,61684",1718100,8 semestres,—,Profesional,3 años,4 años,"98,3",—
Diseño Gráfico,IP SANTO TOMAS,Av. Carlos Schorr 255,Talca,Maule,"-35,429015","-71,673172",1718100,8 semestres,—,Profesional,3 años,4 años,"98,3",—
Diseño Gráfico,IP SANTO TOMAS,Av. Prat  879,Concepción,Bío Bío,"-36,826503","-73,061627",1685400,8 semestres,—,Profesional,3 años,4 años,"98,3",—
