carrera,institucion,tipo,grado_academico,titulo_profesional,salida_intermedia,duracion_formal
Diseño Gráfico Profesional,IP AIEP,Técnico Superior,—,Técnico de Nivel Superior en Diseño Gráfico,—,8 semestres
Diseño Gráfico Profesional,IP INACAP,Profesional,—,Diseñador Gráfico Profesional,—,8 semestres
Diseño Gráfico Publicitario,IP LOS LEONES,Profesional,—,Diseñador Gráfico Publicitario,—,8 semestres
Diseño Industrial,IP DUOC UC,Profesional,—,Diseñador Industrial ,Técnico en Diseño Industrial,8 semestres
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Profesional,Licenciado en Diseño de Objetos,Diseñador Industrial ,—,9 semestres
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Profesional,Licenciatura en Artes y Ciencias del Diseño Industrial,Diseñador Industrial,Técnico de Nivel Superior en Tecnologías de Diseño Industrial,10 semestres
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Profesional,Licenciado en Diseño,Diseñador con mención en Comunicación/Equipamiento,—,10 semestres
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,Profesional,Licenciado en Diseño,"Diseñador con Mención: Gráfico, Industrial, Ambientes",Bachiller en Diseño Básico,10 semestres
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,Profesional,Licenciado en Diseño Multimedia.,Diseñador Comunicacional Multimedia,Bachiller en Comunicación Visual,8 semestres
Diseño Teatral,UNIVERSIDAD DE CHILE,Profesional,"Licenciado en Artes, mención Diseño Teatral",Diseñador Teatral,—,10 semestres
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,Profesional,Licenciado en Diseño,Diseñador de Vestuario y Textiles,—,9 semestres
Diseño Web & Mobile,CFT INACAP,Técnico Superior,—,Técnico de Nivel Superior en Diseño Web & Mobile,—,4 semestres
Diseño y Producción Gráfica,CFT INACAP,Técnico Superior,—,Técnico de Nivel Superior en Diseño Gráfico,—,4 semestres
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Técnico Superior,—,Técnico de Nivel Superior en Diseño Digital y Publicitario,—,5 semestres
